run_tag,n,k,V_count,alpha,alpha_odd,alpha_sq,eq1_alphaodd_eq_alpha,eq2_alphaodd_eq_alphasq,seconds
run_20251208-150456,2,1,2,1,1,1,True,True,0.082
run_20251208-150456,3,1,3,1,1,1,True,True,0.012
run_20251208-150456,4,1,4,1,1,1,True,True,0.004
run_20251208-150456,4,2,6,3,3,3,True,True,0.012
run_20251208-150456,5,1,5,1,1,1,True,True,0.005
run_20251208-150456,5,2,10,4,4,1,True,False,0.011
run_20251208-150456,6,1,6,1,1,1,True,True,0.008
run_20251208-150456,6,2,15,5,5,1,True,False,0.005
run_20251208-150456,6,3,20,10,10,10,True,True,0.005
run_20251208-150456,7,1,7,1,1,1,True,True,0.01
run_20251208-150456,7,2,21,6,6,1,True,False,0.013
run_20251208-150456,7,3,35,15,15,7,True,False,0.037
run_20251208-150456,8,1,8,1,1,1,True,True,0.003
run_20251208-150456,8,2,28,7,7,1,True,False,0.018
run_20251208-150456,8,3,56,21,21,1,True,False,0.056
run_20251208-150456,8,4,70,35,35,35,True,True,0.01
run_20251208-150456,9,1,9,1,1,1,True,True,0.004
run_20251208-150456,9,2,36,8,8,1,True,False,0.051
run_20251208-150456,9,3,84,28,28,1,True,False,0.455
